,contract,overflow_safe,reentrancy_safe,access_control_safe
0,benchmark_16.sol,True,False,True
1,benchmark_17.sol,False,False,True
2,benchmark_9.sol,False,True,False
3,benchmark_15.sol,False,False,False
4,benchmark_29.sol,False,True,False
5,benchmark_28.sol,False,True,True
6,benchmark_14.sol,False,False,True
7,benchmark_8.sol,True,True,True
8,benchmark_38.sol,False,False,False
9,benchmark_10.sol,True,True,False
10,benchmark_11.sol,False,False,True
11,benchmark_39.sol,False,True,True
12,benchmark_13.sol,False,False,False
13,benchmark_12.sol,False,True,True
14,benchmark_61.sol,False,False,False
15,benchmark_75.sol,True,False,True
16,benchmark_49.sol,False,False,False
17,benchmark_48.sol,False,False,True
18,benchmark_74.sol,False,False,False
19,benchmark_60.sol,False,False,True
20,benchmark_76.sol,False,False,True
21,benchmark_62.sol,False,False,False
22,benchmark_89.sol,False,True,True
23,benchmark_88.sol,True,False,True
24,benchmark_63.sol,False,False,True
25,benchmark_77.sol,False,False,False
26,benchmark_73.sol,True,True,False
27,benchmark_67.sol,False,False,True
28,benchmark_98.sol,False,False,False
29,benchmark_99.sol,False,True,False
30,benchmark_66.sol,True,False,False
31,benchmark_72.sol,False,False,True
32,benchmark_58.sol,False,False,False
33,benchmark_64.sol,True,False,True
34,benchmark_70.sol,False,False,True
35,benchmark_71.sol,True,True,False
36,benchmark_65.sol,False,False,False
37,benchmark_59.sol,False,True,False
38,benchmark_40.sol,False,False,True
39,benchmark_54.sol,True,False,False
40,benchmark_68.sol,True,False,True
41,benchmark_83.sol,True,True,False
42,benchmark_97.sol,False,False,False
43,benchmark_96.sol,True,False,True
44,benchmark_82.sol,True,False,False
45,benchmark_69.sol,False,False,True
46,benchmark_55.sol,False,False,False
47,benchmark_41.sol,True,False,False
48,benchmark_57.sol,False,False,False
49,benchmark_43.sol,False,False,False
50,benchmark_94.sol,False,False,True
51,benchmark_80.sol,False,False,True
52,benchmark_81.sol,False,False,False
53,benchmark_95.sol,False,True,False
54,benchmark_42.sol,True,False,False
55,benchmark_56.sol,True,True,True
56,benchmark_52.sol,True,False,True
57,benchmark_46.sol,True,True,False
58,benchmark_91.sol,False,False,False
59,benchmark_85.sol,False,True,False
60,benchmark_84.sol,True,True,False
61,benchmark_90.sol,True,False,False
62,benchmark_47.sol,False,False,False
63,benchmark_53.sol,False,False,False
64,benchmark_79.sol,True,False,False
65,benchmark_45.sol,False,False,True
66,benchmark_51.sol,False,False,False
67,benchmark_86.sol,True,False,True
68,benchmark_92.sol,True,True,False
69,benchmark_93.sol,True,False,False
70,benchmark_87.sol,True,True,False
71,benchmark_50.sol,False,False,False
72,benchmark_44.sol,False,False,True
73,benchmark_78.sol,True,False,True
74,benchmark_3.sol,False,False,False
75,benchmark_23.sol,False,False,False
76,benchmark_37.sol,True,False,False
77,benchmark_36.sol,False,False,False
78,benchmark_22.sol,True,False,False
79,benchmark_2.sol,True,False,False
80,benchmark_34.sol,True,False,True
81,benchmark_20.sol,True,False,True
82,benchmark_21.sol,True,False,True
83,benchmark_35.sol,False,False,False
84,benchmark_1.sol,False,True,False
85,benchmark_5.sol,False,False,False
86,benchmark_19.sol,False,False,True
87,benchmark_31.sol,False,False,False
88,benchmark_25.sol,True,True,False
89,benchmark_24.sol,False,False,True
90,benchmark_30.sol,False,False,False
91,benchmark_18.sol,True,True,False
92,benchmark_4.sol,False,False,True
93,benchmark_100.sol,True,False,True
94,benchmark_6.sol,True,False,False
95,benchmark_26.sol,True,False,False
96,benchmark_32.sol,True,False,True
97,benchmark_33.sol,False,True,False
98,benchmark_27.sol,False,False,False
99,benchmark_7.sol,False,False,False
